Iteration,Score
1,-0.030468644138217815
2,-0.030468644138217815
3,-0.030468644138217815
4,-0.030468644138217815
5,-0.030468644138217815
6,-0.030468644138217815
7,-0.030437012624651906
8,-0.030468644138217815
9,-0.030451655301209836
10,-0.030468644138217815
11,-0.030468644138217815
12,-0.030468644138217815
13,-0.030468644138217815
14,-0.030467531704311223
15,-0.030468644138217815
16,-0.030468644138217815
17,-0.029415345875184195
18,-0.030468644138217815
19,0.45343038779106803
20,0.4493817031984519
21,0.45343038779106803
22,0.45343038779106803
23,0.45343038779106803
24,-0.019411382390648168
25,-0.030468644138217815
26,0.45343038779106803
27,-0.03003128644174269
28,0.45343038779106803
29,0.45343038779106803
30,0.45343038779106803
31,0.1830861457794563
32,0.4493817031984519
33,0.4493817031984519
34,0.4493817031984519
35,0.4493817031984519
36,0.4493817031984519
37,0.4493817031984519
38,0.4493817031984519
39,0.4493817031984519
40,0.4493817031984519
41,0.4493817031984519
42,0.4493817031984519
43,0.4493817031984519
44,-0.026698438944389124
45,-0.030467910323330738
46,-0.030468644138217815
47,-0.030468644138217815
48,-0.030468644138217815
49,-0.030468644138217815
50,0.4493817031984519
