Iteration,Score
1,0.9468359413152911
2,0.9800476639639413
3,0.8426083804630503
4,0.8806501612432638
5,0.8806501612432636
6,0.9468359413152913
7,0.5887600335267742
8,0.8426083804630503
9,0.9468359413152911
10,0.8426083804630504
11,0.9550335228666145
12,0.9734954397869967
13,0.9440617736346106
14,0.8777087462310851
15,0.8806501612432636
16,0.8426083804630503
17,0.9734954397869968
18,0.9277736863091104
19,0.8426083804630504
20,0.8426083804630504
21,0.8777087462310851
22,0.8426083804630503
23,0.8806501612432637
24,0.9696930985829011
25,0.930380841259173
26,0.8426083804630504
27,0.8806501612432636
28,0.8806501612432638
29,0.930380841259173
30,0.8806501612432638
31,0.8806501612432636
32,0.5887600335267749
33,0.9468359413152911
34,0.8426083804630503
35,0.957378774578052
36,0.8426083804630504
37,0.8806501612432636
38,0.8806501612432636
39,0.9620505708081223
40,0.8426083804630504
41,0.8426083804630503
42,0.908794160535078
43,0.8426083804630503
44,0.9573203558092919
45,0.8426083804630503
46,0.8806501612432637
47,0.8426083804630504
48,0.8923390604789596
49,0.957320355809292
50,0.9619505392929555
