Iteration,Score
1,0.8243542889746444
2,-0.010345100618708303
3,0.48513823052684857
4,0.827876245359338
5,0.7808757553897441
6,-0.009925705925756256
7,-0.00823125295895566
8,-0.01001467115725485
9,0.6977941130542764
10,0.8214535764508455
11,-0.009864182839571134
12,-0.010037564518396769
13,0.818211700640328
14,0.7991204104265577
15,0.8304317284113821
16,0.4267891719991417
17,0.7794820203890847
18,0.8141555362194701
19,-0.010275951581041554
20,-0.010034095815999011
21,0.8916549847237433
22,0.7719421887467374
23,-0.008264600511507236
24,0.7156424693912256
25,-0.009039332414865875
26,-0.010190502525285305
27,0.8064549596834353
28,0.7741728473744989
29,-0.010027589900204026
30,-0.009532611368416877
31,-0.009230106755603762
32,0.8219331998304019
33,-0.009770870591043535
34,0.5707848299022514
35,0.18873791337853407
36,-0.009919068036639
37,-0.010106762211807396
38,-0.008817936584583963
39,0.3048818669844593
40,-0.008939705442532864
41,-0.008694766595139791
42,-0.009877117888484888
43,0.7985369538062852
44,-0.010606702093266085
45,0.787559880913576
46,0.9022126799674526
47,0.5406877699342861
48,0.5815371729713943
49,-0.008113858920132389
50,-0.01029406517447451
