Iteration,Score
1,0.5146097729675971
2,0.5333616241696706
3,0.41897489230669893
4,0.5146097729675974
5,0.42948918289867155
6,0.5146097729675972
7,0.5129703392783869
8,0.41897489230669893
9,0.46801575446794974
10,0.5129703392783869
11,0.4614678179811813
12,0.5026877557366891
13,0.4265432061483828
14,0.416874513625513
15,0.5146097729675971
16,0.5129703392783869
17,0.5026877557366892
18,0.42948918289867166
19,0.5129703392783869
20,0.5129703392783868
21,0.41687451362551275
22,0.4189748923066986
23,0.5146097729675974
24,0.5175684905164373
25,0.5146097729675974
26,0.5129703392783869
27,0.5111694856371096
28,0.5146097729675971
29,0.5146097729675972
30,0.43709671937419836
31,0.42746550162177877
32,0.5129703392783869
33,0.46801575446794963
34,0.5146097729675974
35,0.5278626078019897
36,0.5146097729675971
37,0.5146097729675971
38,0.443700226198787
39,0.4761533271708822
40,0.5129703392783869
41,0.5129703392783869
42,0.4168745136255131
43,0.4362865772108214
44,0.5276838821569523
45,0.5129703392783869
46,0.5146097729675974
47,0.5694226766895745
48,0.4168745136255133
49,0.5670364411402389
50,0.4670231178418205
51,0.5111694856371098
52,0.42948918289867166
53,0.41687451362551275
54,0.5111694856371097
55,0.5278626078019899
56,0.514609772967597
57,0.42948918289867155
58,0.42746550162177877
59,0.42746550162177877
60,0.5539623319508837
61,0.429999430318426
62,0.5129703392783869
63,0.42948918289867166
64,0.5146097729675971
65,0.46801575446794974
66,0.44370022619878724
67,0.5129703392783869
68,0.43709671937419825
69,0.5146097729675972
70,0.5129703392783868
71,0.4189748923066986
72,0.5146097729675971
73,0.42746550162177877
74,0.5539623319508837
75,0.5146097729675972
76,0.5670364411402391
77,0.42948918289867166
78,0.44476163867875873
79,0.42746550162177877
80,0.4362865772108214
81,0.5146097729675971
82,0.5278626078019899
83,0.5146097729675972
84,0.42746550162177877
85,0.42948918289867155
86,0.5129703392783869
87,0.5146097729675974
88,0.5129703392783868
89,0.44370022619878713
90,0.5146097729675974
91,0.5146097729675971
92,0.5376733556007705
93,0.5092327038971963
94,0.5146097729675971
95,0.42746550162177877
96,0.5146097729675972
97,0.4362865772108214
98,0.4294891828986718
99,0.5146097729675974
100,0.5129703392783871
