Iteration,Score
1,-0.052417703796859526
2,-0.05123375274240534
3,-0.05209468669585404
4,-0.05218813231178743
5,-0.053203284532385764
6,-0.053225245630862214
7,-0.05311586927157719
8,-0.05263564051831926
9,-0.05140202295086791
10,-0.052613064640754416
11,-0.050364827852576746
12,-0.052507913135234174
13,-0.05283605146285084
14,-0.04874853247655091
15,-0.05284574762836654
16,0.8929961759545542
17,0.5854621981560255
18,-0.05342733471207013
19,0.861324723347822
20,0.8608599431175934
21,0.9094113275795408
22,0.9242285738120974
23,0.935576788381103
24,0.9460247680224041
25,0.8883699518602516
26,0.8371269330072515
27,0.959034664399349
28,0.9677060862372772
29,-0.052688375827158976
30,0.962998892980351
31,0.9628645340205344
32,0.9680402838917272
33,0.9678653371694221
34,0.9648180002757961
35,0.7597753234684286
36,0.9626741414369124
37,0.9043354034696394
38,0.9573794620610844
39,0.9631950568093364
40,-0.05342733471207013
41,0.9678224963892289
42,0.9643101670757366
43,0.9678660931444515
44,0.9680886980142421
45,0.9678224963892289
46,0.9642735496189527
47,0.9679288454086515
48,0.9676865017188332
49,0.9645194676038343
50,0.9678746908016151
