Iteration,Score
1,-0.025642640236021252
2,-0.024448315173329904
3,0.02894402387482231
4,-0.02309849348026649
5,-0.02421931254782117
6,-0.02321547179121608
7,-0.024282642634814167
8,-0.027089636698074404
9,-0.023266949643792056
10,-0.023991290536781618
11,-0.0232216033131194
12,-0.023719853173850725
13,-0.020854849740455705
14,-0.02410614712109216
15,-0.024978517219877983
16,-0.02447704997275757
17,-0.02771754923576264
18,0.9586079386155052
19,-0.02524382265998737
20,-0.023562714701591547
21,-0.023638442663425296
22,-0.023935918190899796
23,0.8944715551072445
24,-0.02621043374751575
25,-0.022822641891532713
26,-0.021489010918135376
27,-0.024196724821547555
28,0.5508797577542608
29,-0.013750555860347902
30,-0.023772663493708768
31,-0.027718412651565272
32,-0.026528430435850625
33,-0.0237655903378462
34,-0.023975511240314606
35,-0.034423717955426314
36,-0.023632191967350558
37,0.8438652628870401
38,-0.02358857217080157
39,-0.02344601702006721
40,-0.02295317895891058
41,-0.024523432336020834
42,-0.023660282031148228
43,-0.025060798625661018
44,-0.023947670253197106
45,-0.0238510027460217
46,-0.023513738623163194
47,-0.022889654320822794
48,-0.02371389555785086
49,-0.023719731459002524
50,0.831830643702946
