Iteration,Score
1,0.9303808412591729
2,0.9468359413152913
3,0.8923390604789597
4,0.8806501612432636
5,0.8426083804630504
6,0.957320355809292
7,0.8806501612432636
8,0.8806501612432636
9,0.9468359413152911
10,0.8426083804630504
11,0.9303808412591729
12,0.8806501612432636
13,0.8426083804630504
14,0.9172967962995471
15,0.5887600335267746
16,0.9440304685416634
17,0.9468359413152911
18,0.8426083804630504
19,0.5887600335267746
20,0.8806501612432636
21,0.8426083804630504
22,0.930380841259173
23,0.8426083804630504
24,0.8806501612432636
25,0.9468359413152913
26,0.8426083804630504
27,0.8806501612432636
28,0.8426083804630504
29,0.9303808412591729
30,0.930380841259173
31,0.946409095501498
32,0.9805173937540864
33,0.9550335228666145
34,0.8806501612432636
35,0.5887600335267746
36,0.8426083804630504
37,0.8426083804630504
38,0.9631103314259624
39,0.957320355809292
40,0.930380841259173
41,0.9733716640864295
42,0.9438945263031128
43,0.8426083804630504
44,0.8426083804630504
45,0.8426083804630504
46,0.8426083804630504
47,0.8426083804630504
48,0.8806501612432635
49,0.8806501612432636
50,0.930380841259173
