Iteration,Score
1,0.7454349419259185
2,0.8945490140843422
3,0.7098791365395143
4,0.7172430367922826
5,0.7035581472756315
6,0.5167465843978822
7,0.8400530130365759
8,0.4591067302507897
9,0.6681851362250876
10,0.7827056256405028
11,0.904856324592747
12,0.9048572992576164
13,0.904856324592747
14,0.9048567662687143
15,0.9048584791899401
16,0.9048583490545127
17,0.904856324592747
18,0.9048579024724839
19,0.904856324592747
20,0.9048585244153328
21,0.904856324592747
22,0.9048575429394615
23,0.904856324592747
24,0.904856324592747
25,0.904856324592747
26,0.8952301167723157
27,0.9048584503879615
28,0.9048581257404079
29,0.904856324592747
30,0.275916330657357
