Iteration,Score
1,0.42584356863261275
2,-0.023381264585162764
3,0.680831819908303
4,0.09923509691577193
5,-0.020751194763569458
6,-0.024073530858476966
7,-0.022954389880506687
8,-0.021996158400521937
9,0.6343043076600073
10,-0.022517139766715655
11,-0.023749817854168853
12,-0.022516153934408978
13,-0.02433952965134978
14,-0.022752346273692936
15,-0.022542475372568482
16,-0.02168521613503982
17,-0.021549842697954125
18,0.8549642294132894
19,-0.023162359996851567
20,-0.025890941208819296
21,0.016675949335075768
22,-0.02445974550919705
23,0.822720055608074
24,-0.024062580457145932
25,-0.023231415040936287
26,-0.02371039801884023
27,0.6504639028056525
28,0.6931773553874064
29,0.41897667122563864
30,0.4810411247455266
31,-0.022097786715758794
32,-0.02226050190162221
33,-0.02295968752668842
34,-0.02416587890266464
35,-0.02408227746444802
36,-0.023011158332957526
37,0.7459502012007273
38,-0.023411265405598014
39,-0.02323998933251259
40,-0.023958501854361325
41,-0.023014504751449616
42,-0.02393739722651178
43,-0.022835868876675436
44,0.6480704153437662
45,-0.023767588655220218
46,-0.02311408112700475
47,-0.025841233243146577
48,0.26841016478192326
49,-0.023694731565390592
50,0.7637062217383789
