Iteration,Score
1,0.894157621666613
2,0.8671510288990565
3,0.9139406813884751
4,0.9304051897849966
5,0.9635350855903356
6,0.9033704731788174
7,0.6486425826780599
8,0.9326537962582412
9,0.9103036599148157
10,0.8379233752537566
11,0.9335273388789194
12,0.9013810198715039
13,0.6486425826780599
14,0.9025700512422633
15,0.8917426291495266
16,0.9886531987358115
17,0.6486425826780599
18,0.9307119452293071
19,0.9525852323523967
20,0.8379233752537566
21,0.9668780000274427
22,0.8379233752537566
23,0.9670808885372979
24,0.9906704825060542
25,0.9914918167697309
26,0.9013810198715039
27,0.9670869653149943
28,0.9917217326185048
29,0.9908795083050332
30,0.9916166377221283
31,0.9914918167697309
32,0.9013810198715039
33,0.9670869653149943
34,0.9912954423776533
35,0.9670869653149943
36,0.9911307874608003
37,0.9914918167697309
38,0.9882478564491978
39,0.9883977064724115
40,0.9866822930395145
41,0.9887546029555114
42,0.9909603689206954
43,0.9914918167697309
44,0.8379233752537566
45,0.9006007524488735
46,0.9872118190747295
47,0.9914918167697309
48,0.9894720753917141
49,0.9764600712103952
50,0.9912445484456993
