Iteration,Score
1,0.472265377858451
2,0.5146097729675971
3,0.5146097729675972
4,0.5146097729675972
5,0.41897489230669893
6,0.4189748923066988
7,0.42948918289867155
8,0.5129703392783869
9,0.42746550162177877
10,0.5129703392783868
11,0.5129703392783869
12,0.5539623319508837
13,0.5356561133153821
14,0.429999430318426
15,0.44370022619878746
16,0.5129703392783868
17,0.5077069411268926
18,0.5146097729675974
19,0.42746550162177877
20,0.5539623319508837
21,0.5194794527557909
22,0.5376733556007703
23,0.5146097729675971
24,0.514609772967597
25,0.5129703392783869
26,0.43628657721082154
27,0.42746550162177877
28,0.4168745136255131
29,0.5694226766895744
30,0.5129703392783869
31,0.43628657721082165
32,0.5539623319508837
33,0.5129703392783869
34,0.47226537785845113
35,0.472265377858451
36,0.4243773443704105
37,0.42948918289867166
38,0.5694226766895742
39,0.4265432061483828
40,0.42746550162177877
41,0.5146097729675971
42,0.5129703392783868
43,0.5146097729675971
44,0.5146097729675972
45,0.5129703392783868
46,0.42746550162177865
47,0.5146097729675974
48,0.5431785190760122
49,0.5177865602537849
50,0.4680157544679495
