Iteration,Score
1,0.658829139515176
2,0.7273449347064089
3,0.6382708061495881
4,0.6900424994893448
5,0.7437058405537856
6,0.6619340573263178
7,0.4322224431643365
8,0.6637872187252001
9,0.6377125078290733
10,0.7133501760210834
11,0.6900913365146072
12,0.7409143601017589
13,0.4322224431643365
14,0.7432040544136097
15,0.5318594871961704
16,0.6580812803872262
17,0.7400891892237002
18,0.6631716992120432
19,0.7498458487366406
20,0.7324845593053524
21,0.4322224431643364
22,0.71795571236111
23,0.677571445752922
24,0.7454744812716274
25,0.7362557074814786
26,0.7255309214868371
27,0.6873757250585497
28,0.717316335380804
29,0.7108010827349742
30,0.7358114763960288
31,0.6516925856850697
32,0.5318594871961705
33,0.7469749273915276
34,0.7375052555372501
35,0.39518172917727423
36,0.7491473947208898
37,0.7469749273915276
38,0.7491114512435788
39,0.6522216238558548
40,0.6534128410554538
41,0.7490492146351679
42,0.7237943869520187
43,0.6799030405576538
44,0.7454961600622256
45,0.43222244316433633
46,0.7239593476075713
47,0.6677988144784213
48,0.7404697391184855
49,0.7434911885153734
50,0.7434911885153734
