Iteration,Score
1,0.3611738403902916
2,0.4234011173103721
3,0.33432448768164547
4,0.4234011173103721
5,0.443682428862493
6,0.432381870908119
7,0.2651661460537036
8,0.3356683733525187
9,0.3320160225041034
10,0.2978611874828251
11,0.44577456329768683
12,0.3408659933809025
13,0.3410266273896315
14,0.45166764857574426
15,0.2978611874828251
16,0.4427328399593927
17,0.37691629683604716
18,0.32191673071100324
19,0.41689158170725227
20,0.44932519454821884
21,0.4234011173103721
22,0.4486980296497812
23,0.2978611874828251
24,0.4346421779873001
25,0.4381922228459126
26,0.29262233149737626
27,0.33799625591577065
28,0.43556376159834187
29,0.45237969939939704
30,0.4406761641136425
31,0.4406761641136425
32,0.4234011173103721
33,0.44494137858324717
34,0.4394123402923677
35,0.4486980296497812
36,0.2978611874828251
37,0.3444422898516771
38,0.2663062963062507
39,0.4234011173103721
40,0.45237969939939704
41,0.1783595494457114
42,0.4234011173103721
43,0.45237969939939704
44,0.29262233149737626
45,0.45237969939939704
46,0.45091725124461596
47,0.2978611874828251
48,0.4234011173103721
49,0.4406761641136425
50,0.43929210678972624
