Iteration,Score
1,-0.08722039788170681
2,-0.0863406797149445
3,-0.08573156554440113
4,-0.08531754581630784
5,0.07118386213357113
6,-0.08491021776754204
7,-0.08118457572381295
8,0.16857764089252197
9,-0.08889613246797815
10,-0.0853846728024548
11,0.7554108956770624
12,-0.5574816896896507
13,-0.08722394606069299
14,0.6135139312905002
15,0.511518846853091
16,0.7582861248984929
17,0.7019643237218955
18,0.7623141152769897
19,-0.08602322131697027
20,0.06447411005762349
21,0.7530802290996744
22,-0.08593022475406809
23,0.7589680658208973
24,0.678862108375988
25,-0.11455752828510946
26,-0.2388187551002335
27,-0.12442828154407053
28,-0.08586839977952124
29,0.7551345714697564
30,0.741634107516518
31,0.7629343601698263
32,0.0036576774269208245
33,0.7585214361663085
34,0.7495683940270402
35,0.7477228976353316
36,0.46476059852207896
37,0.7480573264641375
38,-0.08788596242577076
39,0.5260928030429552
40,-0.08606978083377466
41,0.019934975978738678
42,-0.08840740709133299
43,0.06267115566653159
44,0.6021610291715096
45,0.7586878097000331
46,0.7492241755341253
47,-0.12400878180826388
48,-0.20694422935952175
49,0.759935904001709
50,0.7447127072500482
