Iteration,Score
1,-0.023476988490279016
2,-0.025305769495737707
3,0.9288911089931133
4,-0.0229456814288882
5,-0.02398954904576489
6,-0.021554222062306394
7,-0.022036363020803362
8,-0.024534625621005945
9,-0.023863947632078553
10,-0.023643585368690268
11,-0.023993176615233036
12,-0.023836221924762535
13,-0.023415981712390455
14,-0.024202249040095936
15,-0.021887893051427465
16,-0.022250929959912735
17,0.8803053683851981
18,0.9346318906763447
19,-0.022991051310043753
20,-0.028463175925603768
21,-0.023043925778440055
22,-0.02438745206987125
23,-0.02556870217058993
24,0.9592993336787745
25,-0.026516699301536217
26,-0.024234138751768608
27,-0.024233638280409364
28,-0.022384999580080223
29,-0.023821311998107886
30,-0.023499112000042066
31,-0.023362909192626846
32,-0.0242915567803228
33,-0.02305552831054336
34,-0.023479896520252508
35,-0.023732544041578096
36,0.947657458954276
37,-0.023112136679477535
38,-0.0193882160659955
39,-0.02476191134052197
40,-0.022244448441901765
41,-0.021392224545594862
42,-0.022570333050047964
43,-0.023016504438256202
44,-0.021946256887294124
45,-0.02337860959310034
46,-0.02612519714278716
47,-0.020641364133168416
48,0.7996959721843748
49,-0.022921764310380954
50,-0.02357204979558092
