Iteration,Score
1,0.09362645935171454
2,-0.010056781797635361
3,0.42918559210220353
4,-0.011409222006719455
5,-0.012234529949697315
6,-0.011252613518132337
7,-0.011327316239376106
8,-0.0108107922569467
9,0.35292911786152104
10,-0.011989404941312065
11,-0.011355525076100381
12,-0.01137510074019743
13,-0.01060026011482873
14,-0.01122205471253146
15,-0.010994716600342791
16,-0.012149586784953925
17,-0.011857844170124254
18,0.46304254785251375
19,-0.011800859797935104
20,-0.011110503470170618
21,-0.011272079262321988
22,-0.012064596249701465
23,0.48170954202192096
24,-0.010733366954238877
25,-0.011253206404681748
26,-0.010813705138871033
27,0.3672241823751248
28,0.4319996624193452
29,0.07942399070996575
30,0.2631114755704852
31,-0.012254962806968805
32,-0.011689531034808187
33,-0.011553701432907904
34,-0.01135995591718375
35,-0.01230110162397069
36,-0.011258358507261201
37,0.4720531909429382
38,-0.011384330043959112
39,-0.011343663617953803
40,-0.011369213554543123
41,-0.011218903214188725
42,-0.01111457479037603
43,-0.011561137254631149
44,0.3912964910558211
45,-0.011356545161866682
46,-0.011127107344619747
47,-0.011044872006092277
48,-0.011427652896827123
49,-0.011232199846672897
50,0.4678525527287045
