Iteration,Score
1,-0.06667450661526675
2,0.36961600855854604
3,0.7594928781125198
4,-0.06288909674445141
5,0.24445863733946963
6,0.16377360770559354
7,0.4016982755535542
8,0.5286121459149423
9,-0.06293553974301314
10,0.5428926235700035
11,-0.06206277979869758
12,-0.06417619601985865
13,-0.0626168252445397
14,0.11517736864278091
15,-0.06639385756074849
16,0.14459544414138098
17,0.7573574728186394
18,0.7286261189516325
19,0.5175584173677038
20,0.4071516273801258
21,0.41037292401416325
22,0.1446848257055453
23,-0.061172573812783994
24,0.7775888221674083
25,-0.06301599559912512
26,0.25982422722150783
27,-0.06127348518811172
28,0.02895909313207509
29,-0.020787631831549285
30,0.031147982201312478
31,-0.062233768215624395
32,0.4102250886371976
33,0.17665512566508598
34,0.14452779463625112
35,0.05291695480596619
36,0.7591451990607563
37,-0.06359288867329004
38,0.2531406678391063
39,-0.06283307797189089
40,0.1173066284915214
41,0.06217926482177906
42,0.36011525836055575
43,0.4205306601974285
44,0.12036626500028524
45,-0.060893722674120285
46,-0.06266541314794656
47,0.3575297400423912
48,0.6462452170241857
49,0.19534513644086315
50,0.5372795859893121
