Iteration,Score
1,-0.008247818974520626
2,-0.008403910183083507
3,-0.00803501341175048
4,-0.007940753583581506
5,0.6472475426114233
6,-0.008026023004313255
7,-0.00829472980418231
8,-0.008302025290969527
9,-0.0076827389719400065
10,-0.007379987147582323
11,0.5859322309499984
12,-0.014978085410893094
13,0.1392939445238616
14,0.4924831574767336
15,0.6614853736664876
16,-0.00827176248081134
17,0.7350915347810842
18,0.6007605496650854
19,0.7431276216639932
20,0.7386215409579663
21,0.6887471982559845
22,0.7871895388883655
23,0.8229322755009166
24,0.802639803496608
25,-0.008195577959870626
26,0.800676895663068
27,0.8139676585482519
28,0.8094517705438925
29,0.8165264134717575
30,0.8205778327087048
31,0.4955577963515972
32,0.7917923300588001
33,0.8222359568619435
34,0.6783000934946468
35,0.8235524876504806
36,0.7466095980055928
37,0.8246151779103486
38,0.7356874225256531
39,0.8281808139693639
40,0.8394213789750713
41,0.8025609402658871
42,0.7307017395605554
43,0.7940927869446035
44,0.8391881857545433
45,0.7488055383451828
46,0.8353178721062708
47,0.8122499888443476
48,0.5486595889742232
49,0.8388616672370619
50,0.8371684436560047
