Iteration,Score
1,-0.020971875703766907
2,-0.022799017449967263
3,0.9291377014942565
4,-0.02249255486392676
5,-0.022923813405565374
6,-0.024288658734356705
7,-0.021945969333465154
8,-0.025131019118685094
9,-0.021523933010312968
10,-0.023301164284795783
11,-0.023968885880270463
12,-0.020823906768895784
13,-0.024064579655839413
14,-0.02257560178674267
15,-0.025447721307691573
16,-0.02268874400327614
17,0.8922906970508826
18,0.9363282829730831
19,-0.02006089089585128
20,-0.021435081776608023
21,-0.02212956956438039
22,-0.02360526883688019
23,-0.022859635700245517
24,0.9605468299172434
25,-0.02141188142977213
26,-0.022917643594481563
27,-0.023795019260115735
28,-0.02208905116400328
29,-0.02263954890194575
30,-0.023908633177625038
31,-0.024469306622734832
32,-0.023633787750212187
33,-0.023384937907229064
34,-0.02409841303554705
35,-0.02090770427142563
36,0.9457538205200483
37,-0.024234060336216556
38,-0.024048168481264787
39,-0.02430395816198927
40,-0.02319946983908916
41,-0.024041319270378114
42,-0.022686720713221753
43,-0.023719517754272168
44,-0.02772729368883886
45,-0.024981652446155023
46,-0.01989221542587072
47,-0.021963503451041255
48,0.8147566258137462
49,-0.022777549778097317
50,-0.024975591156869426
